What dance did Ninja do to celebrate his first Battle Royale win?,WINNER ID 1,WINNER ID 2,VOTER ID 1,VOTER ID 2
0. Pon Pon,43706293,1546302081,251431221,1546302058
1. The Floss,202537117,1546302097,185682707,1546302093
2. Gangnam Style,155350217,1546302070,84631686,1546302089
3. Harlem Shake,207877456,1546302110,198713893,1546302075
12/31/18 18:20,177034361,1546302101,47631976,1546302076
,80947160,1546302090,211931432,1546302066
,240984282,1546302089,45505852,1546302114
,108581415,1546302059,59949515,1546302142
,251948197,1546302076,152771825,1546302084
,114162154,1546302060,127377293,1546302107
,50499357,1546302104,121504461,1546302081
,66110611,1546302134,233003186,1546302072
,70369701,1546302059,195151803,1546302130
,30187594,1546302063,198516175,1546302057
,255725587,1546302107,252820511,1546302093
,48714322,1546302058,22919041,1546302062
,76469881,1546302065,47359341,1546302104
,117209387,1546302085,163387689,1546302058
,195919240,1546302136,74676956,1546302072
,73808682,1546302058,121689782,1546302057
,86361996,1546302058,42317824,1546302079
,120784724,1546302058,98686491,1546302065
,211533910,1546302059,149019553,1546302144
,165059732,1546302060,176773523,1546302057
,192955697,1546302072,20645203,1546302083
,107600616,1546302070,168067042,1546302099
,122283735,1546302100,149552565,1546302104
,47758448,1546302060,168835879,1546302092
,123717915,1546302063,123174231,1546302091
,106734485,1546302120,405755504,1546302103
,140383848,1546302092,131959131,1546302062
,159177809,1546302074,149247282,1546302117
,181722827,1546302057,236196982,1546302120
,201571889,1546302070,107658379,1546302116
,137900887,1546302067,62860510,1546302129
,137849482,1546302083,170267746,1546302084
,149177801,1546302078,144221090,1546302091
,30342765,1546302090,111562678,1546302078
,192172875,1546302091,221076104,1546302058
,42886266,1546302075,94212725,1546302061
,55491841,1546302140,119347329,1546302081
,212955494,1546302083,168642811,1546302122
,269032262,1546302059,21992159,1546302064
,73648635,1546302063,197245585,1546302059
,92674462,1546302067,276112485,1546302085
,184021771,1546302059,181848973,1546302095
,218814006,1546302072,214816846,1546302077
,152645327,1546302095,54971135,1546302073
,110986410,1546302081,174697907,1546302058
,21632721,1546302115,172114661,1546302125
,37188432,1546302083,241051421,1546302143
,276205825,1546302141,44431232,1546302061
,244788619,1546302059,184353684,1546302072
,26427202,1546302074,77948331,1546302123
,251831208,1546302062,199869934,1546302070
,136922500,1546302062,76168500,1546302108
,65465232,1546302078,100409663,1546302058
,268300106,1546302079,255624736,1546302144
,138381323,1546302065,138079167,1546302138
,152803749,1546302063,254999993,1546302074
,42764380,1546302061,140160,1546302124
,139551411,1546302061,29905924,1546302082
,47421088,1546302079,195434155,1546302136
,68394314,1546302068,74124786,1546302131
,98589028,1546302100,30274005,1546302120
,153108557,1546302101,129287512,1546302084
,405775711,1546302130,194973928,1546302086
,240023778,1546302057,99675236,1546302061
,150155311,1546302081,77169997,1546302128
,190978111,1546302062,12758714,1546302058
,40734969,1546302077,169949880,1546302075
,254667007,1546302057,158921848,1546302113
,204530449,1546302079,32576088,1546302060
,29994625,1546302078,25095152,1546302069
,53323990,1546302124,180084514,1546302063
,135016486,1546302067,60352021,1546302070
,60016184,1546302060,20892197,1546302077
,21988328,1546302069,71914025,1546302084
,277805405,1546302061,200640529,1546302071
,176897354,1546302065,130328683,1546302060
,230523635,1546302061,205789375,1546302058
,114214524,1546302059,93062149,1546302100
,161605763,1546302062,405569971,1546302066
,137047618,1546302110,187610965,1546302100
,186905087,1546302068,72541334,1546302075
,188543949,1546302059,69158476,1546302132
,165078598,1546302093,23784696,1546302137
,169539966,1546302094,192887725,1546302083
,91641006,1546302092,114736820,1546302082
,76783599,1546302070,180864501,1546302071
,82972026,1546302079,102055267,1546302133
,208691368,1546302097,47691852,1546302088
,146810752,1546302072,184165841,1546302100
,36537658,1546302139,93029066,1546302073
,236436324,1546302067,40124386,1546302058
,205832929,1546302066,86985162,1546302088
,29152412,1546302059,68008170,1546302099
,151349163,1546302062,129268700,1546302130
,92162243,1546302099,229263899,1546302063
,174568410,1546302060,127876567,1546302081
,238913683,1546302066,216383918,1546302073
,45841314,1546302067,197758970,1546302081
,104891569,1546302069,173212841,1546302080
,147954285,1546302077,38754855,1546302092
,160280593,1546302103,136256266,1546302141
,279978827,1546302067,71824490,1546302059
,125413622,1546302059,46184464,1546302087
,266656767,1546302059,139114881,1546302093
,141262697,1546302057,25134462,1546302082
,103394188,1546302058,156826605,1546302058
,172573779,1546302060,107794493,1546302058
,29808525,1546302136,143258971,1546302086
,185037106,1546302099,208974758,1546302061
,199239145,1546302094,166972072,1546302069
,83641206,1546302125,173987048,1546302086
,215909508,1546302098,172409667,1546302059
,105576111,1546302076,269113145,1546302139
,60797044,1546302078,104153413,1546302060
,45045969,1546302073,24368548,1546302079
,229045923,1546302057,118695291,1546302107
,123457325,1546302063,141172202,1546302058
,228190743,1546302081,137638293,1546302058
,119323654,1546302081,195436337,1546302059
,35956135,1546302075,405135087,1546302103
,134885239,1546302079,48171844,1546302068
,194999037,1546302060,236408157,1546302083
,23000579,1546302126,68407179,1546302057
,58789184,1546302086,177459951,1546302078
,404137586,1546302064,128805219,1546302070
,203848633,1546302083,27683248,1546302095
,246183849,1546302078,27792923,1546302058
,254223937,1546302101,103435672,1546302061
,131865176,1546302092,70431565,1546302102
,179034506,1546302058,97471323,1546302111
,160900984,1546302063,230080404,1546302103
,242010544,1546302059,214996262,1546302065
,149760450,1546302071,123803542,1546302072
,69086939,1546302106,99167319,1546302107
,127572592,1546302088,74108926,1546302093
,400223938,1546302056,43711527,1546302114
,247750916,1546302112,27271008,1546302067
,46732321,1546302067,72731519,1546302086
,138864423,1546302086,96491319,1546302056
,90889949,1546302079,189442757,1546302088
,81821686,1546302075,170875840,1546302058
,74498290,1546302066,121298858,1546302094
,131901013,1546302083,132106251,1546302079
,27234235,1546302063,186772954,1546302060
,93496477,1546302074,165261071,1546302093
,90270078,1546302061,24294160,1546302111
,171753885,1546302129,57928516,1546302059
,246559414,1546302078,246468353,1546302074
,76014099,1546302094,122337233,1546302058
,79152484,1546302066,206013699,1546302118
,33002278,1546302085,40882376,1546302079
,72451627,1546302067,90566384,1546302076
,183960216,1546302057,38471059,1546302060
,203557010,1546302061,137228199,1546302065
,24240437,1546302093,120620534,1546302134
,44143144,1546302130,49656065,1546302080
,226817519,1546302102,223861599,1546302060
,220465169,1546302107,56864440,1546302066
,39850595,1546302063,28687326,1546302109
,88401006,1546302089,71308482,1546302065
,53171876,1546302066,196619002,1546302073
,103514654,1546302086,135242325,1546302059
,58324107,1546302058,181546568,1546302067
,401448053,1546302062,163797416,1546302064
,160610137,1546302120,231034378,1546302084
,82652566,1546302101,132553958,1546302059
,64562854,1546302066,156757350,1546302088
,170281800,1546302065,230548638,1546302060
,230540489,1546302084,237827618,1546302108
,131451942,1546302065,143360806,1546302094
,50246706,1546302140,48026289,1546302058
,69642270,1546302065,47550494,1546302140
,202033277,1546302114,89801995,1546302057
,77983694,1546302121,36567058,1546302059
,191037118,1546302101,42688199,1546302058
,204036092,1546302072,34500688,1546302092
,98996663,1546302057,169632075,1546302061
,45597043,1546302060,87118787,1546302058
,173471040,1546302065,71986711,1546302109
,30203472,1546302059,256756744,1546302078
,52524752,1546302066,45151577,1546302063
,245570414,1546302119,41521721,1546302068
,161667349,1546302106,122161324,1546302076
,134318438,1546302078,226859393,1546302069
,139148130,1546302073,164321484,1546302067
,99328080,1546302057,57887248,1546302060
,209180705,1546302058,86033991,1546302108
,77702071,1546302074,180332301,1546302061
,112761195,1546302058,180774710,1546302059
,187844937,1546302074,59995997,1546302074
,224874435,1546302065,55679831,1546302085
,67182393,1546302062,58302918,1546302062
,32374324,1546302059,159012067,1546302064
,176861672,1546302125,274651640,1546302141
,30078009,1546302143,205464433,1546302115
,90602881,1546302065,92538324,1546302056
,71158093,1546302103,157687035,1546302112
,24469687,1546302083,29817713,1546302060
,150070215,1546302079,50036397,1546302061
,100697238,1546302057,97755608,1546302067
,105756200,1546302075,189067761,1546302066
,54193673,1546302135,32728484,1546302057
,187976386,1546302059,103188033,1546302057
,211411949,1546302058,29559201,1546302065
