What are the three animal statues scattered across Fortnite?,Winner ID 1,Winner ID 2,Voter ID 1,Voter ID 2
"0. Llama, Corgi, Lobster",14110722,1546322888,197025125,1546322913
"1. Llama, Fox, Crab",41654863,1546322897,54522416,1546322845
"2. Camel, Fox, Crab",222677677,1546322839,166258169,1546322848
"3. Camel, Corgi, Lobster",73694856,1546322853,404563984,1546322889
1/1/19 0:07,202314089,1546322854,176528519,1546322904
,186603992,1546322893,48164469,1546322878
,49162431,1546322863,213137227,1546322891
,213633216,1546322842,54214876,1546322845
,43849592,1546322847,81414418,1546322889
,177784255,1546322887,89993938,1546322843
,271475388,1546322897,28491825,1546322899
,276546889,1546322910,56279874,1546322855
,111322920,1546322882,36058339,1546322910
,75547375,1546322862,36192253,1546322893
,165302766,1546322847,155270512,1546322845
,78469042,1546322910,197835632,1546322890
,225352946,1546322850,92235262,1546322862
,404598865,1546322856,180652592,1546322871
,152311340,1546322850,114685271,1546322848
,145205791,1546322849,188071266,1546322859
,280405563,1546322896,72998489,1546322841
,939323,1546322851,13551670,1546322878
,173191245,1546322875,168684731,1546322858
,107396722,1546322840,204784216,1546322897
,76774175,1546322840,154812836,1546322862
,275021528,1546322883,157802810,1546322836
,255277339,1546322877,38074702,1546322883
,195329380,1546322864,74980327,1546322842
,66611747,1546322882,272638833,1546322864
,70600336,1546322899,118748268,1546322836
,132464729,1546322873,402903541,1546322874
,254068729,1546322863,259451105,1546322861
,402278399,1546322867,166042331,1546322887
,150781276,1546322860,43364076,1546322875
,39233699,1546322887,141678258,1546322859
,227165581,1546322853,118238105,1546322890
,118979593,1546322895,400724735,1546322889
,158772693,1546322906,88327252,1546322852
,58338476,1546322841,207577449,1546322848
,86646946,1546322849,225108816,1546322841
,121744306,1546322910,51901111,1546322865
,170346360,1546322884,39419794,1546322907
,109010474,1546322900,205035698,1546322874
,140872610,1546322849,37460378,1546322849
,144044722,1546322879,127129423,1546322904
,143735122,1546322840,135477024,1546322901
,208293757,1546322866,18850094,1546322859
,185880064,1546322865,44520217,1546322846
,53406293,1546322902,151568515,1546322874
,195111246,1546322911,144256553,1546322841
,3075587,1546322860,214987467,1546322867
,40193792,1546322860,155679874,1546322849
,139832199,1546322867,199103252,1546322860
,152429917,1546322843,267947231,1546322899
,118306345,1546322863,53988755,1546322848
,58196352,1546322878,402280021,1546322868
,44973675,1546322872,238272630,1546322845
,245847454,1546322847,47063854,1546322900
,403891433,1546322861,127177895,1546322865
,264382815,1546322908,49800569,1546322844
,106856373,1546322871,216014836,1546322848
,404175460,1546322909,247712605,1546322884
,135213811,1546322865,404834542,1546322911
,7866445,1546322876,21804267,1546322892
,46736374,1546322893,208378029,1546322840
,95597246,1546322848,190778057,1546322885
,10344269,1546322867,37271685,1546322854
,150304919,1546322889,219117442,1546322853
,164832739,1546322855,247016319,1546322909
,101894225,1546322863,239099578,1546322883
,55166438,1546322910,88642357,1546322839
,19174931,1546322880,39197382,1546322863
,48268142,1546322856,1520678,1546322911
,128912469,1546322854,88811290,1546322885
,86141421,1546322842,159591906,1546322883
,143453939,1546322897,269690447,1546322875
,18656560,1546322840,158746864,1546322839
,227444187,1546322857,169853562,1546322856
,73100081,1546322863,147951797,1546322849
,145231398,1546322844,51655544,1546322859
,89510917,1546322845,80412773,1546322838
,48575420,1546322855,120435561,1546322862
,63585838,1546322840,250572643,1546322882
,199193692,1546322881,204421128,1546322904
,165492059,1546322844,198064457,1546322838
,405087169,1546322880,117003125,1546322877
,150182792,1546322869,84485036,1546322852
,113393151,1546322875,39080142,1546322901
,30132686,1546322898,240868667,1546322901
,36304983,1546322889,188118804,1546322911
,44676144,1546322838,133800509,1546322842
,157560552,1546322848,245870837,1546322909
,207924121,1546322847,106082642,1546322848
,66051387,1546322865,128128912,1546322856
,130468566,1546322867,193245166,1546322860
,119503820,1546322899,254523812,1546322905
,139754685,1546322890,205640642,1546322874
,60245098,1546322864,254431288,1546322897
,129485226,1546322862,405604735,1546322883
,94624682,1546322877,175646050,1546322868
,189289975,1546322909,200069983,1546322901
,28224790,1546322849,78853888,1546322885
,66159722,1546322855,51955737,1546322873
,212150590,1546322856,188978130,1546322889
,87203170,1546322884,141724883,1546322847
,178388379,1546322869,92370264,1546322856
,105466037,1546322890,221220547,1546322859
,150193541,1546322894,174913083,1546322912
,273963515,1546322844,261868819,1546322856
,176554784,1546322849,77497369,1546322866
,72182598,1546322864,236204681,1546322899
,30712410,1546322862,136504934,1546322836
,181180760,1546322870,231962182,1546322872
,58443566,1546322862,171371704,1546322841
,269488507,1546322846,37748506,1546322913
,400011367,1546322899,124517701,1546322860
,36305285,1546322890,144178432,1546322874
,142038923,1546322903,38445927,1546322859
,266391963,1546322901,202624695,1546322896
,186798594,1546322840,404867108,1546322843
,238468439,1546322888,263349569,1546322881
,41747333,1546322906,143637054,1546322838
,405232015,1546322880,134016400,1546322877
,217158447,1546322875,56371035,1546322896
,121091951,1546322861,10414216,1546322863
,191339767,1546322908,403885374,1546322857
,138179009,1546322880,46229105,1546322900
,169668291,1546322901,63603641,1546322908
,59385407,1546322868,81486927,1546322902
,132994929,1546322853,39020490,1546322902
,134266090,1546322841,27631569,1546322878
,44264873,1546322869,31846509,1546322885
,27409158,1546322878,196626949,1546322853
,172205594,1546322890,121640150,1546322878
,97318497,1546322887,206965500,1546322873
,130459751,1546322856,194509325,1546322849
,63163716,1546322888,58694225,1546322851
,149134047,1546322894,143421422,1546322896
,54510753,1546322869,149757953,1546322878
,230381643,1546322840,44695135,1546322851
,100928006,1546322836,185007781,1546322838
,104186569,1546322912,242323868,1546322880
,25873468,1546322905,49583113,1546322907
,46343555,1546322898,32550354,1546322853
,30569891,1546322901,232006623,1546322883
,96273134,1546322848,135528447,1546322846
,55402063,1546322891,86025913,1546322886
,229013811,1546322870,259148005,1546322884
,195479283,1546322839,155780192,1546322860
,206384986,1546322847,141525901,1546322885
,67720716,1546322865,268888855,1546322869
,42243922,1546322902,66689578,1546322835
,133410580,1546322866,165687696,1546322870
,32817462,1546322858,205722964,1546322899
,98744949,1546322892,405777015,1546322872
,143532188,1546322849,144722373,1546322883
,187755320,1546322869,211935357,1546322873
,90092694,1546322865,169663321,1546322840
,263549149,1546322859,150030916,1546322910
,86202359,1546322910,205543934,1546322892
,230654408,1546322876,25684549,1546322886
,12737239,1546322896,58591339,1546322896
,16187889,1546322847,138569501,1546322843
,137031367,1546322856,137580889,1546322863
,165884948,1546322860,196168838,1546322856
,180211820,1546322843,106556782,1546322843
,265988062,1546322892,222454783,1546322878
,88515544,1546322872,73520699,1546322911
,31395584,1546322865,36040347,1546322839
,20720761,1546322842,100279390,1546322851
,83625177,1546322904,141043202,1546322891
,57303600,1546322874,54449333,1546322846
,240380407,1546322865,154080379,1546322865
,224942740,1546322874,233368456,1546322852
,403282030,1546322896,95812612,1546322912
,203828430,1546322877,122914464,1546322855
,58738200,1546322861,190178240,1546322887
,242381113,1546322887,213099854,1546322893
,74045392,1546322874,242011111,1546322841
,125728998,1546322849,37799288,1546322852
,192730222,1546322849,49133457,1546322857
,40350805,1546322888,140550297,1546322883
,152804763,1546322840,221715514,1546322899
,241316117,1546322904,252073900,1546322857
,117491341,1546322844,243749184,1546322891
,176047838,1546322856,227209790,1546322868
,233482853,1546322886,21643903,1546322859
,57725498,1546322872,203798685,1546322884
,217555561,1546322883,39476296,1546322889
,117774833,1546322876,211680254,1546322846
,50963843,1546322863,36202044,1546322850
,137169322,1546322850,127081681,1546322859
,220311380,1546322850,405110976,1546322872
,140289838,1546322859,36608638,1546322880
,252873414,1546322899,40738485,1546322852
,59827361,1546322838,206296672,1546322853
,65641695,1546322847,109270876,1546322906
,110058056,1546322877,264736255,1546322837
,150609584,1546322869,199218736,1546322899
,275290267,1546322849,277600299,1546322870
,67855385,1546322853,71074646,1546322843
