What was the first 'vehicle' introduced to Fortnite?,Winner ID 1,Winner ID 2,VOTER ID 1,Voter ID 2
0. X-4 Stormwing,18366048,1546294311,47862245,1546294341
1. All Terrante Kart,93088786,1546294306,20985391,1546294296
2. Quadcrasher,146065234,1546294308,114200165,1546294307
3. Shopping Cart,96318761,1546294295,201592773,1546294299
12/31/18 16:11,162454656,1546294306,198095313,1546294294
,405604735,1546294329,181000019,1546294320
,51955737,1546294300,39605197,1546294342
,70924812,1546294303,79030799,1546294338
,41383663,1546294293,32170860,1546294336
,127757828,1546294319,280488184,1546294336
,40970967,1546294309,73913776,1546294319
,47294175,1546294306,90216860,1546294293
,86274176,1546294324,52433591,1546294313
,178838728,1546294371,79287393,1546294315
,37820317,1546294306,237640402,1546294301
,260230194,1546294355,274812977,1546294297
,181947994,1546294329,26870608,1546294296
,178964297,1546294329,263049111,1546294323
,89351905,1546294359,78669133,1546294328
,36075863,1546294354,54650649,1546294328
,221220547,1546294325,403870411,1546294307
,174913083,1546294303,125757387,1546294315
,192791822,1546294352,228275956,1546294376
,120471563,1546294368,237439707,1546294331
,70988271,1546294377,165125279,1546294298
,45773881,1546294331,53438059,1546294337
,275263216,1546294317,114100940,1546294321
,237088661,1546294300,246724785,1546294293
,216251300,1546294294,264161433,1546294339
,29123774,1546294318,107888182,1546294329
,211338015,1546294300,221612605,1546294325
,175753383,1546294335,43769893,1546294337
,28190205,1546294302,193336407,1546294312
,111366276,1546294329,142665726,1546294313
,237801004,1546294300,181119665,1546294292
,133561199,1546294295,143139758,1546294368
,171371704,1546294296,108492034,1546294377
,195956864,1546294320,167656981,1546294312
,184121777,1546294292,189325536,1546294366
,74460711,1546294310,58737810,1546294374
,50847520,1546294299,152965886,1546294301
,124517701,1546294329,250265179,1546294339
,167315057,1546294300,43478083,1546294329
,202519784,1546294307,52754925,1546294317
,155726348,1546294298,24373108,1546294300
,198783237,1546294296,42439676,1546294292
,161476551,1546294300,46176495,1546294322
,38445927,1546294343,191323978,1546294366
,215083441,1546294306,113703308,1546294294
,405633725,1546294348,95149787,1546294302
,58247932,1546294316,103611233,1546294301
,31540729,1546294295,250268290,1546294329
,228965347,1546294303,195900345,1546294296
,184188311,1546294301,81198476,1546294338
,39237807,1546294304,40984386,1546294317
,212177027,1546294304,71907309,1546294307
,144805927,1546294331,226480743,1546294363
,47475683,1546294305,43610614,1546294293
,39020490,1546294295,137036107,1546294327
,75314263,1546294349,46162578,1546294323
,259181346,1546294300,213121354,1546294304
,27631569,1546294312,213749132,1546294321
,246542941,1546294293,257856649,1546294320
,59226998,1546294302,117669768,1546294331
,30635327,1546294312,187030320,1546294302
,47536848,1546294337,146040032,1546294293
,79879144,1546294303,221295678,1546294304
,147675896,1546294298,159256922,1546294354
,272233774,1546294299,278998170,1546294294
,85781712,1546294368,207550435,1546294314
,248089673,1546294319,222803627,1546294347
,74997887,1546294314,231468579,1546294347
,136046063,1546294291,238871265,1546294294
,194509325,1546294334,270466682,1546294314
,248820542,1546294310,176220276,1546294321
,63401344,1546294298,45626246,1546294300
,67744480,1546294325,43971504,1546294298
,143421422,1546294300,174222347,1546294295
,60176432,1546294294,70244162,1546294334
,152498617,1546294317,167253146,1546294347
,404985541,1546294331,95791188,1546294296
,210038835,1546294305,32727354,1546294299
,197828481,1546294324,144338512,1546294301
,149578146,1546294292,249962143,1546294313
,199745436,1546294353,30804442,1546294327
,204199296,1546294327,178482187,1546294305
,46153244,1546294296,49022334,1546294351
,150464591,1546294296,238026741,1546294307
,221111164,1546294293,89634798,1546294347
,213162824,1546294347,274435334,1546294313
,90158662,1546294296,256037818,1546294329
,274818196,1546294324,21643884,1546294316
,257589505,1546294318,197640289,1546294305
,142006702,1546294349,142675423,1546294293
,231838645,1546294351,140773203,1546294311
,208771910,1546294298,204221077,1546294318
,195485624,1546294325,75737203,1546294301
,156910727,1546294326,145076746,1546294312
,230984495,1546294330,154663725,1546294306
,72634510,1546294294,196300461,1546294323
,183789263,1546294353,189086554,1546294313
,64901669,1546294325,185043223,1546294363
,88893034,1546294318,124180288,1546294359
,274059100,1546294348,278218031,1546294293
